Range Query No.,Compacted,Skipped
1,0,48
2,0,333
3,0,1116
4,0,1142
5,0,1295
6,0,2075
7,0,2551
8,0,2538
9,0,2349
10,0,3147
11,0,3322
12,0,4090
13,0,2886
14,0,3653
15,0,2452
16,0,2386
17,0,3111
18,0,2948
19,0,2597
20,0,3249
21,0,3620
22,0,2792
23,0,4474
24,0,2054
25,0,4352
26,0,3540
27,0,4519
28,0,3701
29,0,3458
30,0,4611
31,0,3328
32,0,4135
33,0,3914
34,0,4185
35,0,3149
36,0,5185
37,0,4205
38,0,5548
39,0,5623
40,0,4929
41,0,5008
42,0,5395
43,0,5621
44,0,6129
45,0,6185
46,0,6175
47,0,9841
48,0,7452
49,0,8044
50,0,7687
51,0,8629
52,0,9158
53,0,9038
54,0,10081
55,0,10272
56,0,7816
57,0,9756
58,0,7724
59,0,9417
60,0,9653
61,0,10372
62,0,9031
63,0,7244
64,0,8787
65,0,9516
66,0,11356
67,0,12101
68,0,7057
69,0,9199
70,0,9017
71,0,9729
72,0,9715
73,0,7795
74,0,9490
75,0,6609
76,0,10894
77,0,7882
78,0,8617
79,0,10169
80,0,9859
81,0,10776
82,0,9739
83,0,11920
84,0,9259
85,0,7748
86,0,11480
87,0,8861
88,0,10557
89,0,9776
90,0,9301
91,0,9824
92,0,11148
93,0,10918
94,0,9980
95,0,10071
96,0,12056
97,0,10196
98,0,10448
99,0,12210
100,0,13479
