Range Query No.,Compacted,Skipped
1,6187,48
2,6366,286
3,7366,1294
4,7814,1087
5,7889,538
6,9291,1546
7,9474,1694
8,9432,683
9,10890,1501
10,11186,2663
11,12353,1443
12,12427,2677
13,12635,1367
14,14264,3330
15,14498,2234
16,14992,2348
17,16204,2069
18,16060,1947
19,16374,3038
20,16306,273
21,16542,399
22,16800,1428
23,17407,977
24,17601,2860
25,18802,1798
26,18740,575
27,19796,1704
28,19649,704
29,20136,2550
30,20903,1093
31,20884,647
32,20740,845
33,21174,1049
34,21067,2297
35,21352,414
36,21585,2960
37,22105,1125
38,23763,2734
39,24777,1219
40,25398,3635
41,25276,2218
42,27288,1867
43,27537,235
44,28249,699
45,28201,56
46,28734,400
47,28917,6164
48,30091,1468
49,30027,1584
50,30305,220
51,31133,5806
52,31575,1529
53,31844,227
54,32590,6658
55,33756,2807
56,33748,2931
57,33764,2329
58,34556,1224
59,34471,845
60,34697,240
61,35371,2198
62,36313,1707
63,36657,2478
64,37325,2015
65,38432,1299
66,39064,3348
67,39630,1053
68,39920,4552
69,41100,3248
70,41578,499
71,42573,920
72,42929,596
73,43448,4467
74,43317,5682
75,44158,1014
76,45220,6339
77,45169,1362
78,45517,978
79,45758,532
80,47647,2148
81,47910,4104
82,48849,2094
83,50137,2343
84,50773,1870
85,50812,3102
86,51722,4274
87,53418,6479
88,53760,3181
89,54211,2446
90,54525,4123
91,55085,350
92,56491,3115
93,57792,1124
94,58238,3542
95,58274,1579
96,58682,5004
97,60366,2275
98,60752,3452
99,61250,1968
100,61950,5061
