Range Query No.,Compacted,Skipped
1,0,48
2,0,333
3,0,1209
4,6871,1151
5,2625,1069
6,0,1213
7,8620,2097
8,0,1928
9,2027,2325
10,11186,2689
11,12137,3128
12,11513,3039
13,2027,1220
14,11777,3446
15,0,2130
16,6081,3309
17,4054,2710
18,14598,3411
19,0,1878
20,0,717
21,0,1995
22,0,2308
23,4054,2921
24,5437,2840
25,6081,3187
26,0,2557
27,0,2634
28,0,3470
29,0,4179
30,6081,3592
31,0,3469
32,0,4781
33,6778,1000
34,4054,2837
35,2027,4080
36,13734,3620
37,8108,4298
38,17663,4417
39,0,1451
40,22493,5640
41,2027,3439
42,0,1766
43,6081,1966
44,0,2475
45,0,2531
46,8108,2879
47,0,2113
48,0,4065
49,19216,4862
50,4054,2003
51,0,5767
52,0,3248
53,0,3424
54,24324,6429
55,4054,4370
56,0,3460
57,31723,5461
58,16216,4368
59,0,1067
60,0,1306
61,12162,5331
62,0,2831
63,0,5258
64,31416,6503
65,0,1381
66,0,5570
67,0,6567
68,22297,8174
69,0,7097
70,2027,7580
71,18141,8230
72,41757,7621
73,6081,7106
74,36000,6157
75,12162,6339
76,39012,8095
77,40839,6386
78,4054,993
79,0,475
80,5941,2782
81,6450,3738
82,4054,4602
83,12162,4809
84,12162,6112
85,4604,7046
86,4054,6790
87,4054,7237
88,0,9609
89,14189,6393
90,0,6643
91,0,6880
92,6081,11045
93,20262,10781
94,6081,7467
95,14189,8269
96,0,7991
97,7286,10023
98,4054,9137
99,53461,11921
100,38569,10107
