

               Level           Num Files         Num Entries
             Level-0                   0                   0
             Level-1                   3                1886
             Level-2                  12                5641
             Level-3                  21               13217
             Level-4                  82               32577
             Level-5                 110              161224
             Level-6                  37               60852
             Total:                  265              275397
rocksdb.block.cache.miss COUNT : 1742932
rocksdb.block.cache.hit COUNT : 30483
rocksdb.block.cache.add COUNT : 12577
rocksdb.block.cache.add.failures COUNT : 0
rocksdb.block.cache.index.miss COUNT : 6288
rocksdb.block.cache.index.hit COUNT : 23044
rocksdb.block.cache.index.add COUNT : 6288
rocksdb.block.cache.index.bytes.insert COUNT : 25039344
rocksdb.block.cache.filter.miss COUNT : 6289
rocksdb.block.cache.filter.hit COUNT : 7439
rocksdb.block.cache.filter.add COUNT : 6289
rocksdb.block.cache.filter.bytes.insert COUNT : 6472048
rocksdb.block.cache.data.miss COUNT : 1730355
rocksdb.block.cache.data.hit COUNT : 0
rocksdb.block.cache.data.add COUNT : 0
rocksdb.block.cache.data.bytes.insert COUNT : 0
rocksdb.block.cache.bytes.read COUNT : 107784960
rocksdb.block.cache.bytes.write COUNT : 31511392
rocksdb.bloom.filter.useful COUNT : 0
rocksdb.bloom.filter.full.positive COUNT : 0
rocksdb.bloom.filter.full.true.positive COUNT : 0
rocksdb.persistent.cache.hit COUNT : 0
rocksdb.persistent.cache.miss COUNT : 0
rocksdb.sim.block.cache.hit COUNT : 0
rocksdb.sim.block.cache.miss COUNT : 0
rocksdb.memtable.hit COUNT : 0
rocksdb.memtable.miss COUNT : 0
rocksdb.l0.hit COUNT : 0
rocksdb.l1.hit COUNT : 0
rocksdb.l2andup.hit COUNT : 0
rocksdb.compaction.key.drop.new COUNT : 79703
rocksdb.compaction.key.drop.obsolete COUNT : 0
rocksdb.compaction.key.drop.range_del COUNT : 0
rocksdb.compaction.key.drop.user COUNT : 0
rocksdb.compaction.range_del.drop.obsolete COUNT : 0
rocksdb.compaction.optimized.del.drop.obsolete COUNT : 0
rocksdb.compaction.cancelled COUNT : 0
rocksdb.number.keys.written COUNT : 500001
rocksdb.number.keys.read COUNT : 0
rocksdb.number.keys.updated COUNT : 0
rocksdb.bytes.written COUNT : 520000024
rocksdb.bytes.read COUNT : 0
rocksdb.number.db.seek COUNT : 100
rocksdb.number.db.next COUNT : 3022714
