

               Level           Num Files         Num Entries
             Level-0                   0                   0
             Level-1                   3                1833
             Level-2                  13                5518
             Level-3                  42               17414
             Level-4                 126               53708
             Level-5                 166              162821
             Level-6                  52               60583
             Total:                  402              301877
rocksdb.block.cache.miss COUNT : 2013694
rocksdb.block.cache.hit COUNT : 39672
rocksdb.block.cache.add COUNT : 13440
rocksdb.block.cache.add.failures COUNT : 0
rocksdb.block.cache.index.miss COUNT : 6719
rocksdb.block.cache.index.hit COUNT : 29411
rocksdb.block.cache.index.add COUNT : 6719
rocksdb.block.cache.index.bytes.insert COUNT : 23847584
rocksdb.block.cache.filter.miss COUNT : 6721
rocksdb.block.cache.filter.hit COUNT : 10261
rocksdb.block.cache.filter.add COUNT : 6721
rocksdb.block.cache.filter.bytes.insert COUNT : 6213200
rocksdb.block.cache.data.miss COUNT : 2000254
rocksdb.block.cache.data.hit COUNT : 0
rocksdb.block.cache.data.add COUNT : 0
rocksdb.block.cache.data.bytes.insert COUNT : 0
rocksdb.block.cache.bytes.read COUNT : 117461040
rocksdb.block.cache.bytes.write COUNT : 30060784
rocksdb.bloom.filter.useful COUNT : 0
rocksdb.bloom.filter.full.positive COUNT : 0
rocksdb.bloom.filter.full.true.positive COUNT : 0
rocksdb.persistent.cache.hit COUNT : 0
rocksdb.persistent.cache.miss COUNT : 0
rocksdb.sim.block.cache.hit COUNT : 0
rocksdb.sim.block.cache.miss COUNT : 0
rocksdb.memtable.hit COUNT : 0
rocksdb.memtable.miss COUNT : 0
rocksdb.l0.hit COUNT : 0
rocksdb.l1.hit COUNT : 0
rocksdb.l2andup.hit COUNT : 0
rocksdb.compaction.key.drop.new COUNT : 194895
rocksdb.compaction.key.drop.obsolete COUNT : 0
rocksdb.compaction.key.drop.range_del COUNT : 0
rocksdb.compaction.key.drop.user COUNT : 0
rocksdb.compaction.range_del.drop.obsolete COUNT : 0
rocksdb.compaction.optimized.del.drop.obsolete COUNT : 0
rocksdb.compaction.cancelled COUNT : 0
rocksdb.number.keys.written COUNT : 500001
rocksdb.number.keys.read COUNT : 0
rocksdb.number.keys.updated COUNT : 0
rocksdb.bytes.written COUNT : 520000024
rocksdb.bytes.read COUNT : 0
rocksdb.number.db.seek COUNT : 100
rocksdb.number.db.next COUNT : 3154898
rocksdb.number.db.prev COUNT : 0
rocksdb.number.db.seek.found COUNT : 100
rocksdb.number.db.next.found COUNT : 3154898
rocksdb.number.db.prev.found COUNT : 0
rocksdb.db.iter.bytes.read COUNT : 3230717952
rocksdb.no.file.opens COUNT : 16992
rocksdb.no.file.errors COUNT : 0
rocksdb.stall.micros COUNT : 0
rocksdb.db.mutex.wait.micros COUNT : 0
rocksdb.number.multiget.get COUNT : 0
