Range Query No.,Compacted,Skipped
1,0,146
2,0,174
3,0,460
4,0,745
5,0,741
6,0,921
7,0,975
8,0,769
9,0,1175
10,0,1487
11,0,1299
12,0,1706
13,0,1811
14,0,1678
15,0,1552
16,0,1884
17,0,2193
18,0,2353
19,0,2555
20,0,2407
21,0,1504
22,0,1748
23,0,1736
24,0,2475
25,0,1753
26,0,1851
27,0,2084
28,0,1702
29,0,2542
30,0,2148
31,0,2174
32,0,2314
33,0,2348
34,0,2654
35,0,2987
36,0,2811
37,0,2488
38,0,3127
39,0,2494
40,0,3532
41,0,3324
42,0,4227
43,0,2651
44,0,4650
45,0,4305
46,0,5145
47,0,3313
48,0,3175
49,0,4166
50,0,5067
51,0,5450
52,0,5837
53,0,4137
54,0,4177
55,0,6129
56,0,6742
57,0,5264
58,0,4835
59,0,6111
60,0,6002
61,0,6424
62,0,5209
63,0,5141
64,0,5499
65,0,6380
66,0,6529
67,0,5340
68,0,5488
69,0,6354
70,0,6845
71,0,4950
72,0,4206
73,0,7245
74,0,6169
75,0,7222
76,0,5373
77,0,7612
78,0,4265
79,0,5456
80,0,7174
81,0,7837
82,0,5638
83,0,6083
84,0,6060
85,0,5813
86,0,7317
87,0,6098
88,0,6953
89,0,6503
90,0,5113
91,0,5840
92,0,7843
93,0,6886
94,0,5973
95,0,6126
96,0,6120
97,0,6255
98,0,6713
99,0,7479
100,0,6310
