

               Level           Num Files         Num Entries
             Level-0                   0                   0
             Level-1                   3                1178
             Level-2                  10                5665
             Level-3                  29               17156
             Level-4                  81               53906
             Level-5                 103              162766
             Level-6                  15               20508
             Total:                  241              261179
rocksdb.block.cache.miss COUNT : 1366113
rocksdb.block.cache.hit COUNT : 23358
rocksdb.block.cache.add COUNT : 9347
rocksdb.block.cache.add.failures COUNT : 0
rocksdb.block.cache.index.miss COUNT : 4671
rocksdb.block.cache.index.hit COUNT : 17717
rocksdb.block.cache.index.add COUNT : 4671
rocksdb.block.cache.index.bytes.insert COUNT : 18427856
rocksdb.block.cache.filter.miss COUNT : 4676
rocksdb.block.cache.filter.hit COUNT : 5641
rocksdb.block.cache.filter.add COUNT : 4676
rocksdb.block.cache.filter.bytes.insert COUNT : 4772384
rocksdb.block.cache.data.miss COUNT : 1356766
rocksdb.block.cache.data.hit COUNT : 0
rocksdb.block.cache.data.add COUNT : 0
rocksdb.block.cache.data.bytes.insert COUNT : 0
rocksdb.block.cache.bytes.read COUNT : 83743840
rocksdb.block.cache.bytes.write COUNT : 23200240
rocksdb.bloom.filter.useful COUNT : 0
rocksdb.bloom.filter.full.positive COUNT : 0
rocksdb.bloom.filter.full.true.positive COUNT : 0
rocksdb.persistent.cache.hit COUNT : 0
rocksdb.persistent.cache.miss COUNT : 0
rocksdb.sim.block.cache.hit COUNT : 0
rocksdb.sim.block.cache.miss COUNT : 0
rocksdb.memtable.hit COUNT : 0
rocksdb.memtable.miss COUNT : 0
rocksdb.l0.hit COUNT : 0
rocksdb.l1.hit COUNT : 0
rocksdb.l2andup.hit COUNT : 0
rocksdb.compaction.key.drop.new COUNT : 29238
rocksdb.compaction.key.drop.obsolete COUNT : 0
rocksdb.compaction.key.drop.range_del COUNT : 0
rocksdb.compaction.key.drop.user COUNT : 0
rocksdb.compaction.range_del.drop.obsolete COUNT : 0
rocksdb.compaction.optimized.del.drop.obsolete COUNT : 0
rocksdb.compaction.cancelled COUNT : 0
rocksdb.number.keys.written COUNT : 375001
rocksdb.number.keys.read COUNT : 0
rocksdb.number.keys.updated COUNT : 0
rocksdb.bytes.written COUNT : 390000025
rocksdb.bytes.read COUNT : 0
rocksdb.number.db.seek COUNT : 100
rocksdb.number.db.next COUNT : 2794207
rocksdb.number.db.prev COUNT : 0
