Range Query No.,Compacted,Skipped
1,0,151
2,0,104
3,0,445
4,0,685
5,0,788
6,0,924
7,0,842
8,0,846
9,0,1192
10,0,1343
11,0,1557
12,0,1736
13,0,1807
14,0,2137
15,0,955
16,0,1332
17,0,1646
18,0,1422
19,0,2350
20,0,1966
21,0,1552
22,0,2263
23,0,1514
24,0,1214
25,0,1940
26,0,2419
27,0,2406
28,0,2551
29,0,1131
30,0,2985
31,0,2545
32,0,2789
33,0,2953
34,0,2987
35,0,2383
36,0,1769
37,0,2593
38,0,3697
39,0,2387
40,0,2505
41,0,4206
42,0,2353
43,0,2135
44,0,4589
45,0,3610
46,0,4723
47,0,3174
48,0,4215
49,0,5096
50,0,3634
51,0,5856
52,0,5906
53,0,4370
54,0,4281
55,0,4520
56,0,4575
57,0,5338
58,0,4939
59,0,5257
60,0,4975
61,0,5337
62,0,4339
63,0,6170
64,0,6089
65,0,6233
66,0,6481
67,0,3843
68,0,3304
69,0,6514
70,0,5425
71,0,6746
72,0,4062
73,0,6238
74,0,7112
75,0,7922
76,0,7230
77,0,7396
78,0,5952
79,0,5720
80,0,5950
81,0,5483
82,0,5663
83,0,5855
84,0,4699
85,0,5386
86,0,7218
87,0,7507
88,0,6904
89,0,5678
90,0,5713
91,0,6508
92,0,5479
93,0,6589
94,0,7040
95,0,7600
96,0,7782
97,0,6921
98,0,7219
99,0,8338
100,0,8251
