Range Query No.,Compacted,Skipped
1,6160,96
2,6442,263
3,6702,446
4,7737,444
5,8025,194
6,7928,254
7,8379,517
8,8360,679
9,8918,425
10,9609,214
11,10178,967
12,10482,511
13,10384,1462
14,10356,135
15,11463,308
16,11346,196
17,12302,1147
18,13296,1263
19,13868,1003
20,13800,78
21,14220,84
22,14765,1332
23,14734,448
24,14991,191
25,15435,1368
26,17256,1050
27,17153,1732
28,17830,538
29,18066,816
30,18650,816
31,19118,342
32,19001,3046
33,19343,811
34,19735,272
35,20936,1163
36,22419,1819
37,22756,960
38,23966,706
39,23951,1932
40,24587,510
41,24564,866
42,24901,441
43,26488,1848
44,26865,895
45,26747,885
46,28005,969
47,28590,2952
48,28870,1278
49,29303,1038
50,28514,393
51,30820,1202
52,30785,568
53,31018,226
54,30971,737
55,31693,260
56,32046,372
57,32316,448
58,33310,440
59,34457,759
60,34843,445
61,35036,1525
62,35755,2751
63,36040,471
64,36267,1441
65,36589,494
66,37254,945
67,37563,488
68,37932,384
69,38737,1223
70,39362,1616
71,41019,762
72,41680,755
73,41889,1468
74,42316,2129
75,44658,1454
76,44966,1678
77,46628,1829
78,0,892
79,46876,947
80,47824,2504
81,49065,1876
82,50637,1385
83,51495,909
84,51711,273
85,52428,265
86,52785,767
87,53280,6839
88,53715,571
89,54941,1555
90,55461,1096
91,56104,688
92,57273,1226
93,57701,752
94,57998,224
95,58221,308
96,59912,1259
97,60419,419
98,60998,796
99,61975,525
100,62363,324
