Range Query No.,Compacted,Skipped
1,5698,111
2,0,219
3,0,440
4,0,578
5,2027,809
6,6081,752
7,0,242
8,0,369
9,8126,1119
10,0,245
11,0,1046
12,9578,1445
13,0,289
14,8816,1439
15,7550,1270
16,0,736
17,11557,1133
18,4054,1467
19,2027,801
20,12381,1395
21,12062,1842
22,0,892
23,0,1285
24,0,1591
25,0,919
26,0,1467
27,0,1584
28,4054,1864
29,16364,1836
30,6081,2186
31,0,1633
32,0,1755
33,0,748
34,0,648
35,0,1712
36,6081,2369
37,0,2062
38,21797,2975
39,8595,2705
40,22297,2612
41,7095,2488
42,0,1342
43,18383,2859
44,4054,1628
45,0,2253
46,2027,1787
47,8620,2608
48,0,2407
49,0,2174
50,2027,3203
51,8108,2984
52,0,2922
53,2027,3161
54,10831,3148
55,30156,3057
56,0,927
57,27209,4423
58,2027,764
59,0,2587
60,0,1510
61,12534,3965
62,4054,4438
63,33440,4185
64,12162,3785
65,33613,3688
66,8072,1272
67,2027,558
68,6081,2086
69,6970,1743
70,0,3038
71,2137,3632
72,2985,2955
73,38343,4052
74,0,4004
75,0,5358
76,0,4286
77,39346,5953
78,2027,2578
79,39409,5057
80,12162,3578
81,15400,3268
82,0,1894
83,47290,3993
84,14189,4997
85,2027,510
86,0,1088
87,47511,5457
88,0,1079
89,12162,3170
90,8108,2135
91,0,2636
92,13207,3485
93,0,3786
94,0,3615
95,0,3730
96,4054,4034
97,14189,4393
98,0,4908
99,2027,4991
100,0,6214
