Range Query No.,Compacted,Skipped
1,4842,92
2,6436,228
3,6713,213
4,0,682
5,0,810
6,0,883
7,6081,824
8,8362,587
9,8911,1140
10,9618,259
11,10208,915
12,10497,769
13,10406,266
14,10355,948
15,11465,1061
16,11304,524
17,12285,923
18,13291,772
19,13879,585
20,12690,1631
21,14205,1339
22,14789,1307
23,14728,564
24,15005,459
25,15429,382
26,17260,1087
27,17163,123
28,17830,656
29,18056,334
30,18685,2379
31,19119,1940
32,19003,444
33,19295,562
34,19743,123
35,20967,740
36,22410,2027
37,22773,2070
38,23990,730
39,23970,1913
40,24583,320
41,24580,2396
42,24874,711
43,26465,1107
44,26854,917
45,26768,1655
46,27965,901
47,28590,721
48,28867,505
49,29302,1903
50,29947,684
51,30836,991
52,30777,930
53,31047,242
54,31011,35
55,31679,281
56,32056,763
57,32281,1526
58,33309,676
59,34428,2229
60,34854,850
61,35049,2628
62,35744,1465
63,36025,309
64,36297,2121
65,36538,245
66,37271,867
67,37577,439
68,37923,630
69,38736,974
70,39378,1662
71,41041,861
72,41665,816
73,41866,3143
74,42327,1867
75,44683,1922
76,44965,1607
77,46647,1145
78,46620,2574
79,46858,966
80,47823,2726
81,49043,1425
82,50629,1293
83,51504,931
84,51730,3234
85,52426,498
86,52784,364
87,53302,1154
88,53709,532
89,54935,1804
90,55434,1109
91,56109,615
92,57274,833
93,57672,979
94,57989,171
95,58240,249
96,59901,1016
97,60427,431
98,61021,720
99,61989,567
100,62384,5666
