

               Level           Num Files         Num Entries
             Level-0                   0                   0
             Level-1                   2                1344
             Level-2                   9                5083
             Level-3                  69               12892
             Level-4                   8                2089
             Level-5                   0                   0
             Level-6                 128              239501
             Total:                  216              260909
rocksdb.block.cache.miss COUNT : 1773700
rocksdb.block.cache.hit COUNT : 29981
rocksdb.block.cache.add COUNT : 15782
rocksdb.block.cache.add.failures COUNT : 0
rocksdb.block.cache.index.miss COUNT : 7886
rocksdb.block.cache.index.hit COUNT : 23163
rocksdb.block.cache.index.add COUNT : 7886
rocksdb.block.cache.index.bytes.insert COUNT : 39887936
rocksdb.block.cache.filter.miss COUNT : 7896
rocksdb.block.cache.filter.hit COUNT : 6818
rocksdb.block.cache.filter.add COUNT : 7896
rocksdb.block.cache.filter.bytes.insert COUNT : 10177296
rocksdb.block.cache.data.miss COUNT : 1757918
rocksdb.block.cache.data.hit COUNT : 0
rocksdb.block.cache.data.add COUNT : 0
rocksdb.block.cache.data.bytes.insert COUNT : 0
rocksdb.block.cache.bytes.read COUNT : 124238880
rocksdb.block.cache.bytes.write COUNT : 50065232
rocksdb.bloom.filter.useful COUNT : 0
rocksdb.bloom.filter.full.positive COUNT : 0
rocksdb.bloom.filter.full.true.positive COUNT : 0
rocksdb.persistent.cache.hit COUNT : 0
rocksdb.persistent.cache.miss COUNT : 0
rocksdb.sim.block.cache.hit COUNT : 0
rocksdb.sim.block.cache.miss COUNT : 0
rocksdb.memtable.hit COUNT : 0
rocksdb.memtable.miss COUNT : 0
rocksdb.l0.hit COUNT : 0
rocksdb.l1.hit COUNT : 0
rocksdb.l2andup.hit COUNT : 0
rocksdb.compaction.key.drop.new COUNT : 47471
rocksdb.compaction.key.drop.obsolete COUNT : 0
rocksdb.compaction.key.drop.range_del COUNT : 0
rocksdb.compaction.key.drop.user COUNT : 0
rocksdb.compaction.range_del.drop.obsolete COUNT : 0
rocksdb.compaction.optimized.del.drop.obsolete COUNT : 0
rocksdb.compaction.cancelled COUNT : 0
rocksdb.number.keys.written COUNT : 625001
rocksdb.number.keys.read COUNT : 0
rocksdb.number.keys.updated COUNT : 0
rocksdb.bytes.written COUNT : 650000025
rocksdb.bytes.read COUNT : 0
rocksdb.number.db.seek COUNT : 100
rocksdb.number.db.next COUNT : 3332348
rocksdb.number.db.prev COUNT : 0
rocksdb.number.db.seek.found COUNT : 100
rocksdb.number.db.next.found COUNT : 3332348
rocksdb.number.db.prev.found COUNT : 0
