Range Query No.,Compacted,Skipped
1,0,167
2,0,218
3,0,484
4,0,1118
5,0,1758
6,0,1381
7,0,3603
8,0,3849
9,0,4353
10,0,2892
11,0,2864
12,0,2862
13,0,3369
14,0,2855
15,0,4633
16,0,4384
17,0,4320
18,0,5461
19,0,4686
20,0,3371
21,0,4938
22,0,3052
23,0,4425
24,0,4069
25,0,2313
26,0,4832
27,0,5687
28,0,7169
29,0,8180
30,0,6737
31,0,4681
32,0,4072
33,0,7164
34,0,6460
35,0,6509
36,0,5211
37,0,5312
38,0,8050
39,0,7453
40,0,12121
41,0,9340
42,0,7865
43,0,9958
44,0,13328
45,0,13565
46,0,7366
47,0,12617
48,0,10805
49,0,11316
50,0,12142
51,0,10300
52,0,12493
53,0,13886
54,0,10594
55,0,14329
56,0,10686
57,0,15590
58,0,9155
59,0,7774
60,0,12444
61,0,8033
62,0,11646
63,0,8143
64,0,9537
65,0,10028
66,0,11231
67,0,10076
68,0,11541
69,0,13014
70,0,11172
71,0,12469
72,0,11280
73,0,12104
74,0,13067
75,0,13230
76,0,12661
77,0,11302
78,0,14270
79,0,11893
80,0,11891
81,0,14342
82,0,14986
83,0,14023
84,0,14505
85,0,14358
86,0,12520
87,0,12830
88,0,15893
89,0,16087
90,0,17300
91,0,17496
92,0,19490
93,0,17069
94,0,17376
95,0,10128
96,0,15251
97,0,10562
98,0,21981
99,0,12305
100,0,18949
