Range Query No.,Compacted,Skipped
1,6393,661
2,7230,1506
3,7151,1870
4,7954,2295
5,7957,900
6,9049,2802
7,9860,2733
8,10340,2760
9,11068,2316
10,11178,1942
11,11609,3416
12,11808,645
13,11853,1618
14,11934,4385
15,14286,4362
16,14265,3824
17,14763,1528
18,15412,3310
19,15726,4205
20,15655,1130
21,15864,693
22,16399,1138
23,17566,2929
24,0,493
25,18134,4406
26,18117,601
27,19350,2968
28,20288,4665
29,21284,1739
30,22264,6717
31,22747,3897
32,23570,1563
33,23655,3654
34,25020,11282
35,27657,6710
36,28079,2538
37,28398,4540
38,29061,7842
39,29021,991
40,29701,8411
41,30402,7652
42,30701,3019
43,30906,1445
44,31662,3008
45,31803,3793
46,32611,3174
47,32441,1846
48,33249,1643
49,34254,5154
50,34346,1664
51,34542,4850
52,34779,4296
53,35123,840
54,35325,3397
55,35527,3054
56,35872,1008
57,35911,2676
58,36784,3105
59,36947,2056
60,37784,1931
61,37889,8454
62,39594,4399
63,40219,5368
64,40717,1842
65,41443,9418
66,42485,7260
67,42448,5530
68,43076,2310
69,43290,4834
70,43505,1716
71,43516,127
72,44199,4976
73,44672,1556
74,44685,2235
75,45285,3685
76,45448,5172
77,46710,3705
78,46865,1098
79,49379,7197
80,49494,6704
81,50237,9056
82,51115,9191
83,51654,2453
84,52551,6996
85,53375,8894
86,54870,6943
87,54789,2489
88,55368,2101
89,55780,5835
90,57351,6756
91,57514,14023
92,57863,9653
93,58758,2828
94,59752,2699
95,59787,4949
96,59930,786
97,61053,3244
98,60908,7432
99,61360,2662
100,62090,3025
