

               Level           Num Files         Num Entries
             Level-0                   0                   0
             Level-1                   4                 812
             Level-2                  15                5052
             Level-3                  45               17809
             Level-4                  96               52750
             Level-5                 130              133766
             Level-6                  41               68754
             Total:                  331              278943
rocksdb.block.cache.miss COUNT : 777889
rocksdb.block.cache.hit COUNT : 15629
rocksdb.block.cache.add COUNT : 9641
rocksdb.block.cache.add.failures COUNT : 0
rocksdb.block.cache.index.miss COUNT : 4820
rocksdb.block.cache.index.hit COUNT : 12478
rocksdb.block.cache.index.add COUNT : 4820
rocksdb.block.cache.index.bytes.insert COUNT : 18267840
rocksdb.block.cache.filter.miss COUNT : 4821
rocksdb.block.cache.filter.hit COUNT : 3151
rocksdb.block.cache.filter.add COUNT : 4821
rocksdb.block.cache.filter.bytes.insert COUNT : 4740672
rocksdb.block.cache.data.miss COUNT : 768248
rocksdb.block.cache.data.hit COUNT : 0
rocksdb.block.cache.data.add COUNT : 0
rocksdb.block.cache.data.bytes.insert COUNT : 0
rocksdb.block.cache.bytes.read COUNT : 48669344
rocksdb.block.cache.bytes.write COUNT : 23008512
rocksdb.bloom.filter.useful COUNT : 0
rocksdb.bloom.filter.full.positive COUNT : 0
rocksdb.bloom.filter.full.true.positive COUNT : 0
rocksdb.persistent.cache.hit COUNT : 0
rocksdb.persistent.cache.miss COUNT : 0
rocksdb.sim.block.cache.hit COUNT : 0
rocksdb.sim.block.cache.miss COUNT : 0
rocksdb.memtable.hit COUNT : 0
rocksdb.memtable.miss COUNT : 0
rocksdb.l0.hit COUNT : 0
rocksdb.l1.hit COUNT : 0
rocksdb.l2andup.hit COUNT : 0
rocksdb.compaction.key.drop.new COUNT : 63369
rocksdb.compaction.key.drop.obsolete COUNT : 0
rocksdb.compaction.key.drop.range_del COUNT : 0
rocksdb.compaction.key.drop.user COUNT : 0
rocksdb.compaction.range_del.drop.obsolete COUNT : 0
rocksdb.compaction.optimized.del.drop.obsolete COUNT : 0
rocksdb.compaction.cancelled COUNT : 0
rocksdb.number.keys.written COUNT : 375001
rocksdb.number.keys.read COUNT : 0
rocksdb.number.keys.updated COUNT : 0
rocksdb.bytes.written COUNT : 390000024
rocksdb.bytes.read COUNT : 0
rocksdb.number.db.seek COUNT : 10
