

               Level           Num Files         Num Entries
             Level-0                   0                   0
             Level-1                   4                1390
             Level-2                  11                5614
             Level-3                  26               16112
             Level-4                  73               29858
             Level-5                  25               37418
             Level-6                  98              175810
             Total:                  237              266202
rocksdb.block.cache.miss COUNT : 938387
rocksdb.block.cache.hit COUNT : 18720
rocksdb.block.cache.add COUNT : 9415
rocksdb.block.cache.add.failures COUNT : 0
rocksdb.block.cache.index.miss COUNT : 4707
rocksdb.block.cache.index.hit COUNT : 14600
rocksdb.block.cache.index.add COUNT : 4707
rocksdb.block.cache.index.bytes.insert COUNT : 20462048
rocksdb.block.cache.filter.miss COUNT : 4708
rocksdb.block.cache.filter.hit COUNT : 4120
rocksdb.block.cache.filter.add COUNT : 4708
rocksdb.block.cache.filter.bytes.insert COUNT : 5250816
rocksdb.block.cache.data.miss COUNT : 928972
rocksdb.block.cache.data.hit COUNT : 0
rocksdb.block.cache.data.add COUNT : 0
rocksdb.block.cache.data.bytes.insert COUNT : 0
rocksdb.block.cache.bytes.read COUNT : 68749728
rocksdb.block.cache.bytes.write COUNT : 25712864
rocksdb.bloom.filter.useful COUNT : 0
rocksdb.bloom.filter.full.positive COUNT : 0
rocksdb.bloom.filter.full.true.positive COUNT : 0
rocksdb.persistent.cache.hit COUNT : 0
rocksdb.persistent.cache.miss COUNT : 0
rocksdb.sim.block.cache.hit COUNT : 0
rocksdb.sim.block.cache.miss COUNT : 0
rocksdb.memtable.hit COUNT : 0
rocksdb.memtable.miss COUNT : 0
rocksdb.l0.hit COUNT : 0
rocksdb.l1.hit COUNT : 0
rocksdb.l2andup.hit COUNT : 0
rocksdb.compaction.key.drop.new COUNT : 22811
rocksdb.compaction.key.drop.obsolete COUNT : 0
rocksdb.compaction.key.drop.range_del COUNT : 0
rocksdb.compaction.key.drop.user COUNT : 0
rocksdb.compaction.range_del.drop.obsolete COUNT : 0
rocksdb.compaction.optimized.del.drop.obsolete COUNT : 0
rocksdb.compaction.cancelled COUNT : 0
rocksdb.number.keys.written COUNT : 375001
rocksdb.number.keys.read COUNT : 0
rocksdb.number.keys.updated COUNT : 0
rocksdb.bytes.written COUNT : 390000025
rocksdb.bytes.read COUNT : 0
rocksdb.number.db.seek COUNT : 100
rocksdb.number.db.next COUNT : 1228913
rocksdb.number.db.prev COUNT : 0
rocksdb.number.db.seek.found COUNT : 100
rocksdb.number.db.next.found COUNT : 1228913
rocksdb.number.db.prev.found COUNT : 0
rocksdb.db.iter.bytes.read COUNT : 1258509312
rocksdb.no.file.opens COUNT : 8838
