Range Query No.,Compacted,Skipped
1,0,76
2,0,203
3,0,390
4,0,606
5,0,667
6,0,701
7,0,500
8,0,366
9,0,879
10,0,1129
11,0,1114
12,0,471
13,0,1388
14,0,1531
15,0,1337
16,0,713
17,0,1393
18,0,1769
19,0,1553
20,0,1013
21,0,1660
22,0,1425
23,0,1427
24,0,1281
25,0,1908
26,0,928
27,0,1414
28,0,1542
29,0,2444
30,0,1275
31,0,1579
32,0,1402
33,0,1953
34,0,1530
35,0,1783
36,0,1934
37,0,2267
38,0,2423
39,0,2747
40,0,3492
41,0,2617
42,0,2709
43,0,2829
44,0,3143
45,0,1655
46,0,3384
47,0,3605
48,0,3587
49,0,2350
50,0,4352
51,0,4395
52,0,4572
53,0,2997
54,0,3027
55,0,2634
56,0,2342
57,0,5312
58,0,3105
59,0,4117
60,0,3125
61,0,4719
62,0,4507
63,0,5024
64,0,3613
65,0,4669
66,0,4454
67,0,3874
68,0,5152
69,0,5782
70,0,5014
71,0,5485
72,0,6368
73,0,4358
74,0,4303
75,0,5874
76,0,5505
77,0,4451
78,0,4942
79,0,5986
80,0,3497
81,0,6535
82,0,3484
83,0,5883
84,0,5702
85,0,5468
86,0,5355
87,0,4762
88,0,4328
89,0,6318
90,0,5467
91,0,4092
92,0,4064
93,0,5226
94,0,5310
95,0,5240
96,0,4404
97,0,6788
98,0,6204
99,0,5557
100,0,5784
