

               Level           Num Files         Num Entries
             Level-0                   0                   0
             Level-1                   3                1957
             Level-2                  11                5725
             Level-3                  38               17562
             Level-4                 108               52316
             Level-5                 156              162711
             Level-6                  35               38421
             Total:                  351              278692
rocksdb.block.cache.miss COUNT : 1655720
rocksdb.block.cache.hit COUNT : 27611
rocksdb.block.cache.add COUNT : 9627
rocksdb.block.cache.add.failures COUNT : 0
rocksdb.block.cache.index.miss COUNT : 4814
rocksdb.block.cache.index.hit COUNT : 20874
rocksdb.block.cache.index.add COUNT : 4814
rocksdb.block.cache.index.bytes.insert COUNT : 17868128
rocksdb.block.cache.filter.miss COUNT : 4813
rocksdb.block.cache.filter.hit COUNT : 6737
rocksdb.block.cache.filter.add COUNT : 4813
rocksdb.block.cache.filter.bytes.insert COUNT : 4638880
rocksdb.block.cache.data.miss COUNT : 1646093
rocksdb.block.cache.data.hit COUNT : 0
rocksdb.block.cache.data.add COUNT : 0
rocksdb.block.cache.data.bytes.insert COUNT : 0
rocksdb.block.cache.bytes.read COUNT : 87808752
rocksdb.block.cache.bytes.write COUNT : 22507008
rocksdb.bloom.filter.useful COUNT : 0
rocksdb.bloom.filter.full.positive COUNT : 0
rocksdb.bloom.filter.full.true.positive COUNT : 0
rocksdb.persistent.cache.hit COUNT : 0
rocksdb.persistent.cache.miss COUNT : 0
rocksdb.sim.block.cache.hit COUNT : 0
rocksdb.sim.block.cache.miss COUNT : 0
rocksdb.memtable.hit COUNT : 0
rocksdb.memtable.miss COUNT : 0
rocksdb.l0.hit COUNT : 0
rocksdb.l1.hit COUNT : 0
rocksdb.l2andup.hit COUNT : 0
rocksdb.compaction.key.drop.new COUNT : 94523
rocksdb.compaction.key.drop.obsolete COUNT : 0
rocksdb.compaction.key.drop.range_del COUNT : 0
rocksdb.compaction.key.drop.user COUNT : 0
rocksdb.compaction.range_del.drop.obsolete COUNT : 0
rocksdb.compaction.optimized.del.drop.obsolete COUNT : 0
rocksdb.compaction.cancelled COUNT : 0
rocksdb.number.keys.written COUNT : 375001
rocksdb.number.keys.read COUNT : 0
rocksdb.number.keys.updated COUNT : 0
rocksdb.bytes.written COUNT : 390000024
rocksdb.bytes.read COUNT : 0
rocksdb.number.db.seek COUNT : 100
rocksdb.number.db.next COUNT : 3071761
