

               Level           Num Files         Num Entries
             Level-0                   0                   0
             Level-1                   2                 349
             Level-2                   5                3331
             Level-3                  61                5756
             Level-4                   1                3418
             Level-5                   0                   0
             Level-6                 123              238436
             Total:                  192              251290
rocksdb.block.cache.miss COUNT : 1722520
rocksdb.block.cache.hit COUNT : 27572
rocksdb.block.cache.add COUNT : 13810
rocksdb.block.cache.add.failures COUNT : 0
rocksdb.block.cache.index.miss COUNT : 6905
rocksdb.block.cache.index.hit COUNT : 21064
rocksdb.block.cache.index.add COUNT : 6905
rocksdb.block.cache.index.bytes.insert COUNT : 35012304
rocksdb.block.cache.filter.miss COUNT : 6905
rocksdb.block.cache.filter.hit COUNT : 6508
rocksdb.block.cache.filter.add COUNT : 6905
rocksdb.block.cache.filter.bytes.insert COUNT : 8901264
rocksdb.block.cache.data.miss COUNT : 1708710
rocksdb.block.cache.data.hit COUNT : 0
rocksdb.block.cache.data.add COUNT : 0
rocksdb.block.cache.data.bytes.insert COUNT : 0
rocksdb.block.cache.bytes.read COUNT : 117079808
rocksdb.block.cache.bytes.write COUNT : 43913568
rocksdb.bloom.filter.useful COUNT : 0
rocksdb.bloom.filter.full.positive COUNT : 0
rocksdb.bloom.filter.full.true.positive COUNT : 0
rocksdb.persistent.cache.hit COUNT : 0
rocksdb.persistent.cache.miss COUNT : 0
rocksdb.sim.block.cache.hit COUNT : 0
rocksdb.sim.block.cache.miss COUNT : 0
rocksdb.memtable.hit COUNT : 0
rocksdb.memtable.miss COUNT : 0
rocksdb.l0.hit COUNT : 0
rocksdb.l1.hit COUNT : 0
rocksdb.l2andup.hit COUNT : 0
rocksdb.compaction.key.drop.new COUNT : 8834
rocksdb.compaction.key.drop.obsolete COUNT : 0
rocksdb.compaction.key.drop.range_del COUNT : 0
rocksdb.compaction.key.drop.user COUNT : 0
rocksdb.compaction.range_del.drop.obsolete COUNT : 0
rocksdb.compaction.optimized.del.drop.obsolete COUNT : 0
rocksdb.compaction.cancelled COUNT : 0
rocksdb.number.keys.written COUNT : 375001
rocksdb.number.keys.read COUNT : 0
rocksdb.number.keys.updated COUNT : 0
rocksdb.bytes.written COUNT : 390000025
rocksdb.bytes.read COUNT : 0
rocksdb.number.db.seek COUNT : 100
rocksdb.number.db.next COUNT : 4909940
