

               Level           Num Files         Num Entries
             Level-0                   0                   0
             Level-1                   2                 529
             Level-2                   8                5676
             Level-3                  25               10384
             Level-4                   1                2156
             Level-5                   0                   0
             Level-6                 125              236017
             Total:                  161              254762
rocksdb.block.cache.miss COUNT : 2892343
rocksdb.block.cache.hit COUNT : 33964
rocksdb.block.cache.add COUNT : 15797
rocksdb.block.cache.add.failures COUNT : 0
rocksdb.block.cache.index.miss COUNT : 7902
rocksdb.block.cache.index.hit COUNT : 25660
rocksdb.block.cache.index.add COUNT : 7902
rocksdb.block.cache.index.bytes.insert COUNT : 48407392
rocksdb.block.cache.filter.miss COUNT : 7895
rocksdb.block.cache.filter.hit COUNT : 8304
rocksdb.block.cache.filter.add COUNT : 7895
rocksdb.block.cache.filter.bytes.insert COUNT : 12157264
rocksdb.block.cache.data.miss COUNT : 2876546
rocksdb.block.cache.data.hit COUNT : 0
rocksdb.block.cache.data.add COUNT : 0
rocksdb.block.cache.data.bytes.insert COUNT : 0
rocksdb.block.cache.bytes.read COUNT : 181998160
rocksdb.block.cache.bytes.write COUNT : 60564656
rocksdb.bloom.filter.useful COUNT : 0
rocksdb.bloom.filter.full.positive COUNT : 0
rocksdb.bloom.filter.full.true.positive COUNT : 0
rocksdb.persistent.cache.hit COUNT : 0
rocksdb.persistent.cache.miss COUNT : 0
rocksdb.sim.block.cache.hit COUNT : 0
rocksdb.sim.block.cache.miss COUNT : 0
rocksdb.memtable.hit COUNT : 0
rocksdb.memtable.miss COUNT : 0
rocksdb.l0.hit COUNT : 0
rocksdb.l1.hit COUNT : 0
rocksdb.l2andup.hit COUNT : 0
rocksdb.compaction.key.drop.new COUNT : 5523
rocksdb.compaction.key.drop.obsolete COUNT : 0
rocksdb.compaction.key.drop.range_del COUNT : 0
rocksdb.compaction.key.drop.user COUNT : 0
rocksdb.compaction.range_del.drop.obsolete COUNT : 0
rocksdb.compaction.optimized.del.drop.obsolete COUNT : 0
rocksdb.compaction.cancelled COUNT : 0
rocksdb.number.keys.written COUNT : 375001
rocksdb.number.keys.read COUNT : 0
rocksdb.number.keys.updated COUNT : 0
rocksdb.bytes.written COUNT : 390000025
rocksdb.bytes.read COUNT : 0
rocksdb.number.db.seek COUNT : 100
rocksdb.number.db.next COUNT : 9819690
rocksdb.number.db.prev COUNT : 0
rocksdb.number.db.seek.found COUNT : 100
