Range Query No.,Compacted,Skipped
1,0,457
2,0,597
3,0,1340
4,0,1964
5,0,2539
6,0,2747
7,0,2582
8,0,2625
9,0,3721
10,29320,4298
11,8075,1782
12,0,1467
13,0,1812
14,0,2689
15,0,3124
16,33700,4390
17,0,1268
18,10135,2300
19,0,2267
20,0,2434
21,0,3109
22,0,3625
23,0,3818
24,16216,4344
25,46326,3817
26,10135,3031
27,0,3174
28,2027,4024
29,4054,4815
30,0,5604
31,0,5542
32,0,5918
33,0,6385
34,0,6423
35,0,6542
36,0,8618
37,0,8735
38,0,9336
39,0,9341
40,0,9759
41,0,9924
42,0,11011
43,0,10748
44,0,11016
45,0,11322
46,0,12143
47,0,13038
48,0,13125
49,0,13252
50,15870,13360
51,79054,14444
52,0,434
53,0,1171
54,0,1274
55,0,3895
56,26351,5717
57,0,2631
58,24324,3890
59,8108,5699
60,0,5835
61,0,6762
62,36486,7516
63,108697,6910
64,22297,5760
65,0,1269
66,8108,2125
67,0,4700
68,6081,4080
69,10569,4899
70,4054,5746
71,32432,10176
72,8108,8336
73,0,9126
74,120731,13337
75,5459,6705
76,4949,7227
77,30405,9333
78,0,8276
79,0,8993
80,11052,10450
81,44316,12466
82,4054,13952
83,0,15613
84,2027,16403
85,0,17068
86,0,17418
87,0,15647
88,0,18117
89,0,15759
90,0,18337
91,0,18818
92,0,19777
93,0,19823
94,0,19042
95,0,19764
96,0,20865
97,0,20681
98,0,20574
99,0,20807
100,0,20641
