

               Level           Num Files         Num Entries
             Level-0                   0                   0
             Level-1                   1                1040
             Level-2                 128                1992
             Level-3                   0                   0
             Level-4                   0                   0
             Level-5                   0                   0
             Level-6                 130              246162
             Total:                  259              249194
rocksdb.block.cache.miss COUNT : 9301578
rocksdb.block.cache.hit COUNT : 34068
rocksdb.block.cache.add COUNT : 96647
rocksdb.block.cache.add.failures COUNT : 0
rocksdb.block.cache.index.miss COUNT : 74089
rocksdb.block.cache.index.hit COUNT : 27322
rocksdb.block.cache.index.add COUNT : 56041
rocksdb.block.cache.index.bytes.insert COUNT : 366683888
rocksdb.block.cache.filter.miss COUNT : 40606
rocksdb.block.cache.filter.hit COUNT : 6746
rocksdb.block.cache.filter.add COUNT : 40606
rocksdb.block.cache.filter.bytes.insert COUNT : 66802432
rocksdb.block.cache.data.miss COUNT : 9186883
rocksdb.block.cache.data.hit COUNT : 0
rocksdb.block.cache.data.add COUNT : 0
rocksdb.block.cache.data.bytes.insert COUNT : 0
rocksdb.block.cache.bytes.read COUNT : 187368976
rocksdb.block.cache.bytes.write COUNT : 433486320
rocksdb.bloom.filter.useful COUNT : 0
rocksdb.bloom.filter.full.positive COUNT : 0
rocksdb.bloom.filter.full.true.positive COUNT : 0
rocksdb.persistent.cache.hit COUNT : 0
rocksdb.persistent.cache.miss COUNT : 0
rocksdb.sim.block.cache.hit COUNT : 0
rocksdb.sim.block.cache.miss COUNT : 0
rocksdb.memtable.hit COUNT : 0
rocksdb.memtable.miss COUNT : 0
rocksdb.l0.hit COUNT : 0
rocksdb.l1.hit COUNT : 0
rocksdb.l2andup.hit COUNT : 0
rocksdb.compaction.key.drop.new COUNT : 1736
rocksdb.compaction.key.drop.obsolete COUNT : 0
rocksdb.compaction.key.drop.range_del COUNT : 0
rocksdb.compaction.key.drop.user COUNT : 0
rocksdb.compaction.range_del.drop.obsolete COUNT : 0
rocksdb.compaction.optimized.del.drop.obsolete COUNT : 0
rocksdb.compaction.cancelled COUNT : 0
rocksdb.number.keys.written COUNT : 375001
rocksdb.number.keys.read COUNT : 0
rocksdb.number.keys.updated COUNT : 0
rocksdb.bytes.written COUNT : 390000024
rocksdb.bytes.read COUNT : 0
rocksdb.number.db.seek COUNT : 1000
rocksdb.number.db.next COUNT : 34197985
rocksdb.number.db.prev COUNT : 0
rocksdb.number.db.seek.found COUNT : 1000
rocksdb.number.db.next.found COUNT : 34197985
rocksdb.number.db.prev.found COUNT : 0
rocksdb.db.iter.bytes.read COUNT : 35019760640
rocksdb.no.file.opens COUNT : 47362
rocksdb.no.file.errors COUNT : 0
rocksdb.stall.micros COUNT : 0
rocksdb.db.mutex.wait.micros COUNT : 0
rocksdb.number.multiget.get COUNT : 0
rocksdb.number.multiget.keys.read COUNT : 0
rocksdb.number.multiget.bytes.read COUNT : 0
rocksdb.number.merge.failures COUNT : 0
rocksdb.bloom.filter.prefix.checked COUNT : 0
rocksdb.bloom.filter.prefix.useful COUNT : 0
rocksdb.bloom.filter.prefix.true.positive COUNT : 0
rocksdb.number.reseeks.iteration COUNT : 0
rocksdb.getupdatessince.calls COUNT : 0
rocksdb.wal.synced COUNT : 0
rocksdb.wal.bytes COUNT : 390000024
rocksdb.write.self COUNT : 375001
rocksdb.write.other COUNT : 0
rocksdb.write.wal COUNT : 375001
rocksdb.compact.read.bytes COUNT : 981831073
rocksdb.compact.write.bytes COUNT : 960163154
rocksdb.flush.write.bytes COUNT : 23945250944
rocksdb.compact.read.marked.bytes COUNT : 0
rocksdb.compact.read.periodic.bytes COUNT : 0
rocksdb.compact.read.ttl.bytes COUNT : 0
rocksdb.compact.write.marked.bytes COUNT : 0
rocksdb.compact.write.periodic.bytes COUNT : 0
rocksdb.compact.write.ttl.bytes COUNT : 0
rocksdb.number.direct.load.table.properties COUNT : 15779
rocksdb.number.superversion_acquires COUNT : 717
rocksdb.number.superversion_releases COUNT : 0
