

               Level           Num Files         Num Entries
             Level-0                   0                   0
             Level-1                   1                 457
             Level-2                   5                3417
             Level-3                  81                2919
             Level-4                   0                   0
             Level-5                   0                   0
             Level-6                 130              241215
             Total:                  217              248008
rocksdb.block.cache.miss COUNT : 4805180
rocksdb.block.cache.hit COUNT : 38820
rocksdb.block.cache.add COUNT : 38685
rocksdb.block.cache.add.failures COUNT : 0
rocksdb.block.cache.index.miss COUNT : 25131
rocksdb.block.cache.index.hit COUNT : 30464
rocksdb.block.cache.index.add COUNT : 21191
rocksdb.block.cache.index.bytes.insert COUNT : 137829488
rocksdb.block.cache.filter.miss COUNT : 17494
rocksdb.block.cache.filter.hit COUNT : 8356
rocksdb.block.cache.filter.add COUNT : 17494
rocksdb.block.cache.filter.bytes.insert COUNT : 28213216
rocksdb.block.cache.data.miss COUNT : 4762555
rocksdb.block.cache.data.hit COUNT : 0
rocksdb.block.cache.data.add COUNT : 0
rocksdb.block.cache.data.bytes.insert COUNT : 0
rocksdb.block.cache.bytes.read COUNT : 207071488
rocksdb.block.cache.bytes.write COUNT : 166042704
rocksdb.bloom.filter.useful COUNT : 0
rocksdb.bloom.filter.full.positive COUNT : 0
rocksdb.bloom.filter.full.true.positive COUNT : 0
rocksdb.persistent.cache.hit COUNT : 0
rocksdb.persistent.cache.miss COUNT : 0
rocksdb.sim.block.cache.hit COUNT : 0
rocksdb.sim.block.cache.miss COUNT : 0
rocksdb.memtable.hit COUNT : 0
rocksdb.memtable.miss COUNT : 0
rocksdb.l0.hit COUNT : 0
rocksdb.l1.hit COUNT : 0
rocksdb.l2andup.hit COUNT : 0
rocksdb.compaction.key.drop.new COUNT : 3637
rocksdb.compaction.key.drop.obsolete COUNT : 0
rocksdb.compaction.key.drop.range_del COUNT : 0
rocksdb.compaction.key.drop.user COUNT : 0
rocksdb.compaction.range_del.drop.obsolete COUNT : 0
rocksdb.compaction.optimized.del.drop.obsolete COUNT : 0
rocksdb.compaction.cancelled COUNT : 0
rocksdb.number.keys.written COUNT : 375001
rocksdb.number.keys.read COUNT : 0
rocksdb.number.keys.updated COUNT : 0
rocksdb.bytes.written COUNT : 390000025
rocksdb.bytes.read COUNT : 0
rocksdb.number.db.seek COUNT : 500
rocksdb.number.db.next COUNT : 16867091
rocksdb.number.db.prev COUNT : 0
rocksdb.number.db.seek.found COUNT : 500
rocksdb.number.db.next.found COUNT : 16867091
rocksdb.number.db.prev.found COUNT : 0
rocksdb.db.iter.bytes.read COUNT : 17272413184
rocksdb.no.file.opens COUNT : 25860
