

               Level           Num Files         Num Entries
             Level-0                   0                   0
             Level-1                   9                1904
             Level-2                  31               19094
             Level-3                  53               34460
             Level-4                 106              202875
             Total:                  199              258333
rocksdb.block.cache.miss COUNT : 1321538
rocksdb.block.cache.hit COUNT : 36860
rocksdb.block.cache.add COUNT : 18831
rocksdb.block.cache.add.failures COUNT : 0
rocksdb.block.cache.index.miss COUNT : 9414
rocksdb.block.cache.index.hit COUNT : 28145
rocksdb.block.cache.index.add COUNT : 9414
rocksdb.block.cache.index.bytes.insert COUNT : 29449968
rocksdb.block.cache.filter.miss COUNT : 9417
rocksdb.block.cache.filter.hit COUNT : 8715
rocksdb.block.cache.filter.add COUNT : 9417
rocksdb.block.cache.filter.bytes.insert COUNT : 7741072
rocksdb.block.cache.data.miss COUNT : 1302707
rocksdb.block.cache.data.hit COUNT : 0
rocksdb.block.cache.data.add COUNT : 0
rocksdb.block.cache.data.bytes.insert COUNT : 0
rocksdb.block.cache.bytes.read COUNT : 94765424
rocksdb.block.cache.bytes.write COUNT : 37191040
rocksdb.bloom.filter.useful COUNT : 0
rocksdb.bloom.filter.full.positive COUNT : 0
rocksdb.bloom.filter.full.true.positive COUNT : 0
rocksdb.persistent.cache.hit COUNT : 0
rocksdb.persistent.cache.miss COUNT : 0
rocksdb.sim.block.cache.hit COUNT : 0
rocksdb.sim.block.cache.miss COUNT : 0
rocksdb.memtable.hit COUNT : 0
rocksdb.memtable.miss COUNT : 0
rocksdb.l0.hit COUNT : 0
rocksdb.l1.hit COUNT : 0
rocksdb.l2andup.hit COUNT : 0
rocksdb.compaction.key.drop.new COUNT : 15271
rocksdb.compaction.key.drop.obsolete COUNT : 0
rocksdb.compaction.key.drop.range_del COUNT : 0
rocksdb.compaction.key.drop.user COUNT : 0
rocksdb.compaction.range_del.drop.obsolete COUNT : 0
rocksdb.compaction.optimized.del.drop.obsolete COUNT : 0
rocksdb.compaction.cancelled COUNT : 0
rocksdb.number.keys.written COUNT : 375001
rocksdb.number.keys.read COUNT : 0
rocksdb.number.keys.updated COUNT : 0
rocksdb.bytes.written COUNT : 390000025
rocksdb.bytes.read COUNT : 0
rocksdb.number.db.seek COUNT : 100
rocksdb.number.db.next COUNT : 3072460
rocksdb.number.db.prev COUNT : 0
rocksdb.number.db.seek.found COUNT : 100
rocksdb.number.db.next.found COUNT : 3072460
rocksdb.number.db.prev.found COUNT : 0
rocksdb.db.iter.bytes.read COUNT : 3146301440
