

               Level           Num Files         Num Entries
             Level-0                   0                   0
             Level-1                  10                1952
             Level-2                 125               19701
             Level-3                 192              199116
             Level-4                  27               32157
             Total:                  354              252926
rocksdb.block.cache.miss COUNT : 1596915
rocksdb.block.cache.hit COUNT : 47866
rocksdb.block.cache.add COUNT : 19083
rocksdb.block.cache.add.failures COUNT : 0
rocksdb.block.cache.index.miss COUNT : 9543
rocksdb.block.cache.index.hit COUNT : 35609
rocksdb.block.cache.index.add COUNT : 9543
rocksdb.block.cache.index.bytes.insert COUNT : 20422976
rocksdb.block.cache.filter.miss COUNT : 9540
rocksdb.block.cache.filter.hit COUNT : 12257
rocksdb.block.cache.filter.add COUNT : 9540
rocksdb.block.cache.filter.bytes.insert COUNT : 5573824
rocksdb.block.cache.data.miss COUNT : 1577832
rocksdb.block.cache.data.hit COUNT : 0
rocksdb.block.cache.data.add COUNT : 0
rocksdb.block.cache.data.bytes.insert COUNT : 0
rocksdb.block.cache.bytes.read COUNT : 96613984
rocksdb.block.cache.bytes.write COUNT : 25996800
rocksdb.bloom.filter.useful COUNT : 0
rocksdb.bloom.filter.full.positive COUNT : 0
rocksdb.bloom.filter.full.true.positive COUNT : 0
rocksdb.persistent.cache.hit COUNT : 0
rocksdb.persistent.cache.miss COUNT : 0
rocksdb.sim.block.cache.hit COUNT : 0
rocksdb.sim.block.cache.miss COUNT : 0
rocksdb.memtable.hit COUNT : 0
rocksdb.memtable.miss COUNT : 0
rocksdb.l0.hit COUNT : 0
rocksdb.l1.hit COUNT : 0
rocksdb.l2andup.hit COUNT : 0
rocksdb.compaction.key.drop.new COUNT : 96507
rocksdb.compaction.key.drop.obsolete COUNT : 0
rocksdb.compaction.key.drop.range_del COUNT : 0
rocksdb.compaction.key.drop.user COUNT : 0
rocksdb.compaction.range_del.drop.obsolete COUNT : 0
rocksdb.compaction.optimized.del.drop.obsolete COUNT : 0
rocksdb.compaction.cancelled COUNT : 0
rocksdb.number.keys.written COUNT : 375001
rocksdb.number.keys.read COUNT : 0
rocksdb.number.keys.updated COUNT : 0
rocksdb.bytes.written COUNT : 390000023
rocksdb.bytes.read COUNT : 0
rocksdb.number.db.seek COUNT : 100
rocksdb.number.db.next COUNT : 2784583
rocksdb.number.db.prev COUNT : 0
rocksdb.number.db.seek.found COUNT : 100
rocksdb.number.db.next.found COUNT : 2784563
rocksdb.number.db.prev.found COUNT : 0
rocksdb.db.iter.bytes.read COUNT : 2851494899
rocksdb.no.file.opens COUNT : 21807
rocksdb.no.file.errors COUNT : 0
rocksdb.stall.micros COUNT : 0
rocksdb.db.mutex.wait.micros COUNT : 0
rocksdb.number.multiget.get COUNT : 0
rocksdb.number.multiget.keys.read COUNT : 0
rocksdb.number.multiget.bytes.read COUNT : 0
rocksdb.number.merge.failures COUNT : 0
