

               Level           Num Files         Num Entries
             Level-0                   0                   0
             Level-1                   3                1970
             Level-2                   6                3970
             Level-3                  15                7700
             Level-4                  31               15553
             Level-5                  53               31889
             Level-6                 110               62520
             Level-7                 113              127762
             Level-8                  35               43492
             Total:                  366              294856
rocksdb.block.cache.miss COUNT : 1745709
rocksdb.block.cache.hit COUNT : 25895
rocksdb.block.cache.add COUNT : 8442
rocksdb.block.cache.add.failures COUNT : 0
rocksdb.block.cache.index.miss COUNT : 4220
rocksdb.block.cache.index.hit COUNT : 19501
rocksdb.block.cache.index.add COUNT : 4220
rocksdb.block.cache.index.bytes.insert COUNT : 19062768
rocksdb.block.cache.filter.miss COUNT : 4222
rocksdb.block.cache.filter.hit COUNT : 6394
rocksdb.block.cache.filter.add COUNT : 4222
rocksdb.block.cache.filter.bytes.insert COUNT : 4889008
rocksdb.block.cache.data.miss COUNT : 1737267
rocksdb.block.cache.data.hit COUNT : 0
rocksdb.block.cache.data.add COUNT : 0
rocksdb.block.cache.data.bytes.insert COUNT : 0
rocksdb.block.cache.bytes.read COUNT : 92460528
rocksdb.block.cache.bytes.write COUNT : 23951776
rocksdb.bloom.filter.useful COUNT : 0
rocksdb.bloom.filter.full.positive COUNT : 0
rocksdb.bloom.filter.full.true.positive COUNT : 0
rocksdb.persistent.cache.hit COUNT : 0
rocksdb.persistent.cache.miss COUNT : 0
rocksdb.sim.block.cache.hit COUNT : 0
rocksdb.sim.block.cache.miss COUNT : 0
rocksdb.memtable.hit COUNT : 0
rocksdb.memtable.miss COUNT : 0
rocksdb.l0.hit COUNT : 0
rocksdb.l1.hit COUNT : 0
rocksdb.l2andup.hit COUNT : 0
rocksdb.compaction.key.drop.new COUNT : 78385
rocksdb.compaction.key.drop.obsolete COUNT : 0
rocksdb.compaction.key.drop.range_del COUNT : 0
rocksdb.compaction.key.drop.user COUNT : 0
rocksdb.compaction.range_del.drop.obsolete COUNT : 0
rocksdb.compaction.optimized.del.drop.obsolete COUNT : 0
rocksdb.compaction.cancelled COUNT : 0
