

               Level           Num Files         Num Entries
             Level-0                   0                   0
             Level-1                   3                1762
             Level-2                  12                5848
             Level-3                  36               17073
             Level-4                 106               43958
             Level-5                  99              162426
             Level-6                  14               18149
             Total:                  270              249216
rocksdb.block.cache.miss COUNT : 1320939
rocksdb.block.cache.hit COUNT : 21668
rocksdb.block.cache.add COUNT : 8921
rocksdb.block.cache.add.failures COUNT : 0
rocksdb.block.cache.index.miss COUNT : 4460
rocksdb.block.cache.index.hit COUNT : 16493
rocksdb.block.cache.index.add COUNT : 4460
rocksdb.block.cache.index.bytes.insert COUNT : 18211008
rocksdb.block.cache.filter.miss COUNT : 4461
rocksdb.block.cache.filter.hit COUNT : 5175
rocksdb.block.cache.filter.add COUNT : 4461
rocksdb.block.cache.filter.bytes.insert COUNT : 4699024
rocksdb.block.cache.data.miss COUNT : 1312018
rocksdb.block.cache.data.hit COUNT : 0
rocksdb.block.cache.data.add COUNT : 0
rocksdb.block.cache.data.bytes.insert COUNT : 0
rocksdb.block.cache.bytes.read COUNT : 80380256
rocksdb.block.cache.bytes.write COUNT : 22910032
rocksdb.bloom.filter.useful COUNT : 0
rocksdb.bloom.filter.full.positive COUNT : 0
rocksdb.bloom.filter.full.true.positive COUNT : 0
rocksdb.persistent.cache.hit COUNT : 0
rocksdb.persistent.cache.miss COUNT : 0
rocksdb.sim.block.cache.hit COUNT : 0
rocksdb.sim.block.cache.miss COUNT : 0
rocksdb.memtable.hit COUNT : 0
rocksdb.memtable.miss COUNT : 0
rocksdb.l0.hit COUNT : 0
rocksdb.l1.hit COUNT : 0
rocksdb.l2andup.hit COUNT : 0
rocksdb.compaction.key.drop.new COUNT : 32305
rocksdb.compaction.key.drop.obsolete COUNT : 0
rocksdb.compaction.key.drop.range_del COUNT : 0
rocksdb.compaction.key.drop.user COUNT : 0
rocksdb.compaction.range_del.drop.obsolete COUNT : 0
rocksdb.compaction.optimized.del.drop.obsolete COUNT : 0
rocksdb.compaction.cancelled COUNT : 0
rocksdb.number.keys.written COUNT : 375001
rocksdb.number.keys.read COUNT : 0
rocksdb.number.keys.updated COUNT : 0
rocksdb.bytes.written COUNT : 390000024
rocksdb.bytes.read COUNT : 0
rocksdb.number.db.seek COUNT : 100
rocksdb.number.db.next COUNT : 2643204
