

               Level           Num Files         Num Entries
             Level-0                   0                   0
             Level-1                   5                1740
             Level-2                  30                9096
             Level-3                 112               45154
             Level-4                  87              161040
             Total:                  234              217030
rocksdb.block.cache.miss COUNT : 1373305
rocksdb.block.cache.hit COUNT : 29921
rocksdb.block.cache.add COUNT : 11555
rocksdb.block.cache.add.failures COUNT : 0
rocksdb.block.cache.index.miss COUNT : 5777
rocksdb.block.cache.index.hit COUNT : 22407
rocksdb.block.cache.index.add COUNT : 5777
rocksdb.block.cache.index.bytes.insert COUNT : 17837312
rocksdb.block.cache.filter.miss COUNT : 5778
rocksdb.block.cache.filter.hit COUNT : 7514
rocksdb.block.cache.filter.add COUNT : 5778
rocksdb.block.cache.filter.bytes.insert COUNT : 4702432
rocksdb.block.cache.data.miss COUNT : 1361750
rocksdb.block.cache.data.hit COUNT : 0
rocksdb.block.cache.data.add COUNT : 0
rocksdb.block.cache.data.bytes.insert COUNT : 0
rocksdb.block.cache.bytes.read COUNT : 83376576
rocksdb.block.cache.bytes.write COUNT : 22539744
rocksdb.bloom.filter.useful COUNT : 0
rocksdb.bloom.filter.full.positive COUNT : 0
rocksdb.bloom.filter.full.true.positive COUNT : 0
rocksdb.persistent.cache.hit COUNT : 0
rocksdb.persistent.cache.miss COUNT : 0
rocksdb.sim.block.cache.hit COUNT : 0
rocksdb.sim.block.cache.miss COUNT : 0
rocksdb.memtable.hit COUNT : 0
rocksdb.memtable.miss COUNT : 0
rocksdb.l0.hit COUNT : 0
rocksdb.l1.hit COUNT : 0
rocksdb.l2andup.hit COUNT : 0
rocksdb.compaction.key.drop.new COUNT : 41818
rocksdb.compaction.key.drop.obsolete COUNT : 0
rocksdb.compaction.key.drop.range_del COUNT : 0
rocksdb.compaction.key.drop.user COUNT : 0
rocksdb.compaction.range_del.drop.obsolete COUNT : 0
rocksdb.compaction.optimized.del.drop.obsolete COUNT : 0
rocksdb.compaction.cancelled COUNT : 0
rocksdb.number.keys.written COUNT : 375001
rocksdb.number.keys.read COUNT : 0
rocksdb.number.keys.updated COUNT : 0
rocksdb.bytes.written COUNT : 390000025
rocksdb.bytes.read COUNT : 0
rocksdb.number.db.seek COUNT : 100
rocksdb.number.db.next COUNT : 2739358
rocksdb.number.db.prev COUNT : 0
rocksdb.number.db.seek.found COUNT : 100
rocksdb.number.db.next.found COUNT : 2739352
