

               Level           Num Files         Num Entries
             Level-0                   0                   0
             Level-1                   7                1836
             Level-2                  87               15970
             Level-3                 169              127360
             Level-4                 130              129666
             Total:                  393              274832
rocksdb.block.cache.miss COUNT : 1672990
rocksdb.block.cache.hit COUNT : 42321
rocksdb.block.cache.add COUNT : 17389
rocksdb.block.cache.add.failures COUNT : 0
rocksdb.block.cache.index.miss COUNT : 8696
rocksdb.block.cache.index.hit COUNT : 32068
rocksdb.block.cache.index.add COUNT : 8696
rocksdb.block.cache.index.bytes.insert COUNT : 19674128
rocksdb.block.cache.filter.miss COUNT : 8693
rocksdb.block.cache.filter.hit COUNT : 10253
rocksdb.block.cache.filter.add COUNT : 8693
rocksdb.block.cache.filter.bytes.insert COUNT : 5340416
rocksdb.block.cache.data.miss COUNT : 1655601
rocksdb.block.cache.data.hit COUNT : 0
rocksdb.block.cache.data.add COUNT : 0
rocksdb.block.cache.data.bytes.insert COUNT : 0
rocksdb.block.cache.bytes.read COUNT : 92684512
rocksdb.block.cache.bytes.write COUNT : 25014544
rocksdb.bloom.filter.useful COUNT : 0
rocksdb.bloom.filter.full.positive COUNT : 0
rocksdb.bloom.filter.full.true.positive COUNT : 0
rocksdb.persistent.cache.hit COUNT : 0
rocksdb.persistent.cache.miss COUNT : 0
rocksdb.sim.block.cache.hit COUNT : 0
rocksdb.sim.block.cache.miss COUNT : 0
rocksdb.memtable.hit COUNT : 0
rocksdb.memtable.miss COUNT : 0
rocksdb.l0.hit COUNT : 0
rocksdb.l1.hit COUNT : 0
rocksdb.l2andup.hit COUNT : 0
rocksdb.compaction.key.drop.new COUNT : 98385
rocksdb.compaction.key.drop.obsolete COUNT : 0
rocksdb.compaction.key.drop.range_del COUNT : 0
rocksdb.compaction.key.drop.user COUNT : 0
rocksdb.compaction.range_del.drop.obsolete COUNT : 0
rocksdb.compaction.optimized.del.drop.obsolete COUNT : 0
rocksdb.compaction.cancelled COUNT : 0
rocksdb.number.keys.written COUNT : 375001
rocksdb.number.keys.read COUNT : 0
rocksdb.number.keys.updated COUNT : 0
rocksdb.bytes.written COUNT : 390000025
rocksdb.bytes.read COUNT : 0
rocksdb.number.db.seek COUNT : 100
rocksdb.number.db.next COUNT : 3062148
rocksdb.number.db.prev COUNT : 0
rocksdb.number.db.seek.found COUNT : 100
